Ano;Território;Desemprego 25-34 anos;Desemprego 35-44 anos;Desemprego 45-54 anos;Desemprego 55+ anos;População com 1º Ciclo;População com 2º Ciclo;População com 3º Ciclo/Secundário;Pré-Escolar;População Empregada - Homens;População Empregada - Mulheres;População Empregada - Total
2009;Cantanhede;345.3;217.0;237.5;231.0;181.0;191.3;138.8;47.1;;;1210.9
2009;Carrazeda de Ansiães;60.6;47.0;56.3;36.9;;800.0;54.5;;;;236.8
2009;Carregal do Sal;82.8;90.6;68.3;80.3;100.0;250.0;94.7;200.0;;;386.0
2009;Cartaxo;238.4;181.0;209.4;203.3;86.4;50.0;154.5;40.0;;;939.8
2009;Cascais;1722.5;1785.6;1729.9;1504.1;43.5;135.7;149.7;56.2;;;7464.1
2009;Castanheira de Pêra;33.3;34.9;39.4;52.2;;;;;;;187.0
2009;Castelo Branco;680.9;571.1;511.3;498.7;233.3;352.6;173.1;176.9;;;2654.8
2009;Castelo de Paiva;213.6;339.8;351.3;232.8;48.6;26.3;5.8;28.6;;;1323.5
2009;Castelo de Vide;27.2;22.1;13.8;19.8;100.0;200.0;40.0;33.3;;;112.8
2009;Castro Daire;108.3;99.3;107.1;123.0;170.0;90.9;32.1;100.0;;;498.1
2009;Castro Marim;51.7;50.0;52.0;34.3;12.5;100.0;11.8;;;;220.8
2009;Castro Verde;61.1;56.5;65.3;67.3;41.7;62.5;42.9;150.0;;;302.1
2009;Celorico da Beira;70.7;42.1;53.2;54.0;1600.0;500.0;17.6;;;;264.4
2009;Celorico de Basto;314.3;307.4;327.0;173.7;185.7;50.0;16.7;;;;1349.8
2009;Chamusca;102.8;78.6;101.7;99.9;42.9;160.0;80.0;100.0;;;455.2
2009;Chaves;524.9;420.3;424.9;342.3;530.8;233.3;140.3;64.7;;;2042.3
2009;Cinfães;274.4;304.7;291.8;255.1;92.3;40.0;19.8;100.0;;;1278.3
2009;Coimbra;1794.8;1132.6;1074.7;895.0;110.1;150.9;189.5;73.8;;;5703.4
2009;Condeixa-a-Nova;129.3;105.4;74.5;82.3;128.6;1200.0;119.0;85.7;;;463.0
2009;Constância;46.7;32.9;33.0;28.9;14.3;100.0;46.7;;;;168.7
2009;Coruche;229.4;218.4;268.8;316.8;66.7;90.0;107.1;200.0;;;1160.3
2009;Covilhã;755.7;660.2;774.8;759.1;338.9;265.0;98.1;164.7;;;3395.2
2009;Crato;41.3;23.0;31.2;29.3;200.0;100.0;50.0;;;;146.0
2009;Cuba;45.1;50.2;37.9;33.3;400.0;150.0;37.5;;;;193.8
2009;Elvas;337.1;270.5;210.6;114.4;125.0;125.0;64.2;266.7;;;1205.4
2009;Entroncamento;227.3;156.8;101.8;88.4;125.0;216.7;147.4;43.8;;;670.8
2009;Espinho;640.8;700.4;756.8;574.8;59.1;196.2;109.1;120.0;;;3060.3
2009;Esposende;245.1;250.8;273.3;273.1;116.7;444.4;86.9;100.0;;;1189.3
2009;Estarreja;344.3;298.1;247.3;202.2;65.4;104.5;104.3;50.0;;;1314.6
2009;Estremoz;109.3;110.3;91.5;61.3;61.5;155.6;62.8;66.7;;;471.2
2009;Fafe;639.4;630.6;949.8;892.0;102.0;200.0;40.2;77.8;;;3651.6
2009;Faro;764.6;529.7;466.8;361.1;62.2;208.3;107.1;13.2;;;2495.8
2009;Felgueiras;651.3;686.4;989.2;778.3;64.5;87.0;22.9;57.1;;;3672.7
2009;Ferreira do Alentejo;92.9;66.6;66.6;73.1;100.0;66.7;50.0;100.0;;;346.9
2009;Ferreira do Zêzere;56.4;33.8;37.8;34.1;75.0;85.7;20.8;100.0;;;217.9
2009;Figueira da Foz;895.3;648.1;616.5;489.5;111.1;220.7;202.3;100.0;;;3111.2
2009;Figueira de Castelo Rodrigo;44.8;37.7;33.6;32.0;600.0;83.3;29.6;;;;181.4
2009;Figueiró dos Vinhos;63.3;63.0;80.2;68.8;125.0;100.0;100.0;200.0;;;325.3
2009;Fornos de Algodres;54.0;41.7;70.1;42.1;;500.0;11.5;;;;237.1
2009;Freixo de Espada à Cinta;56.5;42.8;48.8;21.4;800.0;133.3;40.0;;;;208.1
2009;Fronteira;47.5;25.8;40.8;42.5;33.3;200.0;9.1;;;;180.6
2009;Fundão;343.5;266.8;367.2;260.8;550.0;220.0;108.5;150.0;;;1455.5
2009;Gavião;44.7;32.3;39.3;27.4;;100.0;20.0;;;;169.4
2009;Golegã;45.7;52.3;32.8;31.3;450.0;150.0;150.0;150.0;;;193.3
2009;Gondomar;2342.6;2608.3;2828.3;1787.2;46.2;270.7;86.9;102.7;;;10911.5
2009;Gouveia;149.8;145.3;208.8;217.1;1600.0;127.3;76.5;225.0;;;829.8
2009;Grândola;92.3;63.3;72.0;53.6;78.6;140.0;43.2;60.0;;;336.0
2009;Guarda;440.8;342.6;420.3;344.0;392.9;281.8;168.6;218.2;;;1804.1
2009;Guimarães;2052.5;2426.8;3544.9;3008.5;93.3;104.5;48.8;52.6;;;12479.8
2009;Góis;31.0;25.0;30.5;27.1;50.0;60.0;;;;;138.0
2009;Idanha-a-Nova;77.5;63.3;66.0;70.7;350.0;75.0;53.8;300.0;;;316.0
2009;Lagoa;274.3;271.5;240.1;181.9;31.7;47.1;32.1;31.6;;;1124.1
2009;Lagos;386.3;325.5;302.3;151.7;56.7;108.6;99.0;52.4;;;1409.3
2009;Lamego;376.6;331.1;336.9;203.6;177.3;115.6;82.9;76.5;;;1496.1
2009;Leiria;1130.2;917.6;838.8;712.5;76.6;141.0;106.9;95.2;;;4222.8
2009;Loulé;799.5;662.3;567.9;381.3;44.7;106.3;54.0;47.4;;;2773.3
2009;Loures;1712.2;1659.9;1640.8;1505.8;34.7;113.3;130.6;53.2;;;7309.5
2009;Lourinhã;268.3;206.3;181.4;126.1;69.7;281.8;45.0;81.8;;;955.5
2009;Lousada;532.8;543.7;563.2;432.5;37.3;29.2;15.9;122.2;;;2487.4
2009;Lousã;222.1;174.7;139.2;100.4;60.0;230.0;330.0;100.0;;;755.8
2009;Macedo de Cavaleiros;145.2;133.8;179.7;142.3;625.0;153.8;93.3;233.3;;;702.3
2009;Mafra;680.2;576.0;416.3;327.4;28.9;78.6;44.4;42.5;;;2339.3
2009;Maia;1815.3;1829.9;1896.6;1431.3;51.1;232.5;167.9;43.3;;;7850.2
2009;Mangualde;239.3;217.2;217.2;208.8;175.0;245.5;95.1;200.0;;;1082.8
2009;Manteigas;34.8;27.5;67.9;61.0;;100.0;10.0;;;;204.1
2009;Marco de Canaveses;800.1;854.9;687.6;491.6;77.0;47.8;14.1;80.0;;;3365.8
2009;Marinha Grande;466.5;433.8;394.8;281.1;63.2;206.7;94.6;78.9;;;1799.8
2009;Marvão;21.9;20.3;23.4;21.1;300.0;125.0;;;;;98.8
2009;Matosinhos;1788.6;1807.8;2132.4;1887.4;60.8;255.4;163.0;65.7;;;8388.8
2009;Mação;30.8;22.9;37.9;27.1;;120.0;35.0;;;;140.3
2009;Mealhada;197.4;121.2;158.8;136.8;91.7;266.7;134.6;90.0;;;732.8
2009;Melgaço;40.4;31.3;18.5;17.4;200.0;300.0;25.0;;;;137.9
2009;Mesão Frio;104.3;99.3;93.4;38.5;300.0;75.0;16.0;;;;397.7
2009;Mira;135.2;102.6;100.1;116.1;1600.0;300.0;178.6;66.7;;;533.3
2009;Miranda do Corvo;112.5;82.2;70.7;70.8;162.5;285.7;70.4;500.0;;;421.3
2009;Miranda do Douro;48.9;32.6;29.8;31.5;650.0;275.0;57.9;500.0;;;173.7
2009;Mirandela;289.7;215.3;265.2;260.0;1175.0;462.5;94.9;112.5;;;1182.3
2009;Mogadouro;67.2;55.2;84.6;60.4;1500.0;800.0;90.9;200.0;;;315.2
2009;Moimenta da Beira;113.2;119.9;121.0;82.3;533.3;175.0;40.0;800.0;;;508.8
2009;Moita;1015.7;871.5;886.3;601.1;49.4;83.9;109.6;100.0;;;3836.8
2009;Monchique;32.5;40.9;43.8;37.9;300.0;28.6;36.4;;;;186.8
2009;Mondim de Basto;102.3;114.4;88.4;59.3;950.0;75.0;36.4;;;;436.5
2009;Monforte;40.9;28.1;17.6;16.3;;50.0;9.1;100.0;;;139.2
2009;Montalegre;59.9;61.3;70.6;58.7;1500.0;100.0;15.2;;;;283.3
2009;Montemor-o-Novo;138.9;103.3;105.8;85.2;70.0;90.0;67.6;37.5;;;521.8
2009;Montemor-o-Velho;239.0;212.2;199.6;186.3;129.4;620.0;147.6;45.5;;;990.6
2009;Montijo;560.2;495.3;458.7;387.6;48.2;63.3;114.7;60.9;;;2132.6
2009;Monção;176.0;130.7;106.5;75.2;240.0;328.6;63.3;60.0;;;580.6
2009;Mora;38.4;35.4;38.4;44.0;133.3;66.7;40.0;100.0;;;181.8
2009;Mortágua;52.2;52.3;53.3;42.8;550.0;350.0;114.3;100.0;;;227.2
2009;Moura;233.7;219.3;225.8;177.4;83.3;113.3;49.0;50.0;;;999.8
2009;Mourão;26.7;19.8;17.9;8.3;;57.1;9.1;100.0;;;91.8
2009;Murtosa;115.2;97.4;74.4;59.9;72.7;71.4;50.0;166.7;;;414.4
2009;Murça;60.9;57.3;62.0;53.8;275.0;200.0;100.0;;;;277.1
2009;Mértola;37.7;46.7;56.0;37.2;100.0;200.0;11.5;100.0;;;212.0
2009;Mêda;26.4;14.5;12.5;13.3;400.0;50.0;40.0;300.0;;;86.8
2009;Nazaré;198.3;184.5;133.3;131.2;157.1;283.3;44.0;20.0;;;764.7
2009;Nelas;226.5;149.9;174.8;139.2;150.0;153.8;50.0;54.5;;;812.7
2009;Nisa;65.6;49.8;44.5;35.9;166.7;100.0;36.8;;;;225.3
2009;Odemira;234.4;239.8;267.0;228.7;82.4;114.3;38.6;13.3;;;1123.5
2009;Odivelas;1152.5;997.8;1039.8;1073.4;39.7;172.8;149.3;35.5;;;4662.1
2009;Oeiras;1206.8;1177.3;1108.8;1179.8;46.4;183.8;235.6;45.8;;;5111.8
2009;Oleiros;18.1;13.8;14.9;22.2;200.0;20.0;50.0;100.0;;;91.3
2009;Olhão;627.0;479.7;409.7;292.3;85.0;100.0;66.4;38.5;;;2138.1
2009;Oliveira de Azeméis;573.1;548.8;647.5;541.3;47.6;101.7;50.7;115.0;;;2753.4
2009;Oliveira de Frades;62.9;59.6;64.9;53.8;140.0;18.2;35.3;;;;286.1
2009;Oliveira do Bairro;234.3;180.8;140.1;128.9;76.2;129.4;64.1;100.0;;;803.4
2009;Oliveira do Hospital;173.5;168.0;165.5;121.0;84.0;81.0;38.6;100.0;;;754.8
2009;Ourique;54.9;50.8;50.8;64.8;150.0;;23.5;400.0;;;260.1
2009;Ourém;328.1;322.2;250.8;147.8;172.7;91.2;50.8;212.5;;;1272.0
2009;Ovar;844.5;852.7;816.0;663.5;75.9;137.5;98.9;88.2;;;3669.4
