Ano,Território,Desemprego 25-34 anos,População com 1º Ciclo,População com 2º Ciclo,População com 3º Ciclo/Secundário,Pré-Escolar,População Empregada - Homens,População Empregada - Total,Cluster
2009,Cascais,1722.5,43.5,135.7,149.7,56.2,3481.5006715916725,7464.1,0
2009,Castanheira de Pêra,33.3,911.898627596439,996.7853123977756,1160.0324398797595,608.1002453557659,3481.5006715916725,187.0,2
2009,Castelo Branco,680.9,233.3,352.6,173.1,176.9,3481.5006715916725,2654.8,1
2009,Castelo de Paiva,213.6,48.6,26.3,5.8,28.6,3481.5006715916725,1323.5,1
2009,Castelo de Vide,27.2,100.0,200.0,40.0,33.3,3481.5006715916725,112.8,1
2009,Castro Daire,108.3,170.0,90.9,32.1,100.0,3481.5006715916725,498.1,1
2009,Castro Marim,51.7,12.5,100.0,11.8,608.1002453557659,3481.5006715916725,220.8,1
2009,Castro Verde,61.1,41.7,62.5,42.9,150.0,3481.5006715916725,302.1,1
2009,Celorico da Beira,70.7,1600.0,500.0,17.6,608.1002453557659,3481.5006715916725,264.4,2
2009,Celorico de Basto,314.3,185.7,50.0,16.7,608.1002453557659,3481.5006715916725,1349.8,1
2009,Chamusca,102.8,42.9,160.0,80.0,100.0,3481.5006715916725,455.2,1
2009,Chaves,524.9,530.8,233.3,140.3,64.7,3481.5006715916725,2042.3,1
2009,Cinfães,274.4,92.3,40.0,19.8,100.0,3481.5006715916725,1278.3,1
2009,Coimbra,1794.8,110.1,150.9,189.5,73.8,3481.5006715916725,5703.4,0
2009,Condeixa-a-Nova,129.3,128.6,1200.0,119.0,85.7,3481.5006715916725,463.0,1
2009,Constância,46.7,14.3,100.0,46.7,608.1002453557659,3481.5006715916725,168.7,1
2009,Coruche,229.4,66.7,90.0,107.1,200.0,3481.5006715916725,1160.3,1
2009,Covilhã,755.7,338.9,265.0,98.1,164.7,3481.5006715916725,3395.2,1
2009,Crato,41.3,200.0,100.0,50.0,608.1002453557659,3481.5006715916725,146.0,1
2009,Cuba,45.1,400.0,150.0,37.5,608.1002453557659,3481.5006715916725,193.8,1
2009,Elvas,337.1,125.0,125.0,64.2,266.7,3481.5006715916725,1205.4,1
2009,Entroncamento,227.3,125.0,216.7,147.4,43.8,3481.5006715916725,670.8,1
2009,Espinho,640.8,59.1,196.2,109.1,120.0,3481.5006715916725,3060.3,1
2009,Esposende,245.1,116.7,444.4,86.9,100.0,3481.5006715916725,1189.3,1
2009,Estarreja,344.3,65.4,104.5,104.3,50.0,3481.5006715916725,1314.6,1
2009,Estremoz,109.3,61.5,155.6,62.8,66.7,3481.5006715916725,471.2,1
2009,Fafe,639.4,102.0,200.0,40.2,77.8,3481.5006715916725,3651.6,1
2009,Faro,764.6,62.2,208.3,107.1,13.2,3481.5006715916725,2495.8,1
2009,Felgueiras,651.3,64.5,87.0,22.9,57.1,3481.5006715916725,3672.7,1
2009,Ferreira do Alentejo,92.9,100.0,66.7,50.0,100.0,3481.5006715916725,346.9,1
2009,Ferreira do Zêzere,56.4,75.0,85.7,20.8,100.0,3481.5006715916725,217.9,1
2009,Figueira da Foz,895.3,111.1,220.7,202.3,100.0,3481.5006715916725,3111.2,0
2009,Figueira de Castelo Rodrigo,44.8,600.0,83.3,29.6,608.1002453557659,3481.5006715916725,181.4,1
2009,Figueiró dos Vinhos,63.3,125.0,100.0,100.0,200.0,3481.5006715916725,325.3,1
2009,Fornos de Algodres,54.0,911.898627596439,500.0,11.5,608.1002453557659,3481.5006715916725,237.1,2
2009,Freixo de Espada à Cinta,56.5,800.0,133.3,40.0,608.1002453557659,3481.5006715916725,208.1,1
2009,Fronteira,47.5,33.3,200.0,9.1,608.1002453557659,3481.5006715916725,180.6,1
2009,Fundão,343.5,550.0,220.0,108.5,150.0,3481.5006715916725,1455.5,1
2009,Gavião,44.7,911.898627596439,100.0,20.0,608.1002453557659,3481.5006715916725,169.4,1
2009,Golegã,45.7,450.0,150.0,150.0,150.0,3481.5006715916725,193.3,1
2009,Gouveia,149.8,1600.0,127.3,76.5,225.0,3481.5006715916725,829.8,1
2009,Grândola,92.3,78.6,140.0,43.2,60.0,3481.5006715916725,336.0,1
2009,Guarda,440.8,392.9,281.8,168.6,218.2,3481.5006715916725,1804.1,1
2009,Góis,31.0,50.0,60.0,1160.0324398797595,608.1002453557659,3481.5006715916725,138.0,1
2009,Idanha-a-Nova,77.5,350.0,75.0,53.8,300.0,3481.5006715916725,316.0,1
2009,Lagoa,274.3,31.7,47.1,32.1,31.6,3481.5006715916725,1124.1,1
2009,Lagos,386.3,56.7,108.6,99.0,52.4,3481.5006715916725,1409.3,1
