Ano,25-34,Básico - 1º Ciclo,Básico - 2º Ciclo,Básico - 3º Ciclo e secundário,Educação Pré-Escolar,Homens
2009,1722.5,43.5,135.7,149.7,56.2,4006.4644790257103
2009,680.9,233.3,352.6,173.1,176.9,4006.4644790257103
2009,213.6,48.6,26.3,5.8,28.6,4006.4644790257103
2009,27.2,100.0,200.0,40.0,33.3,4006.4644790257103
2009,108.3,170.0,90.9,32.1,100.0,4006.4644790257103
2009,51.7,12.5,100.0,11.8,606.0225288159273,4006.4644790257103
2009,61.1,41.7,62.5,42.9,150.0,4006.4644790257103
2009,70.7,1600.0,500.0,17.6,606.0225288159273,4006.4644790257103
2009,314.3,185.7,50.0,16.7,606.0225288159273,4006.4644790257103
2009,102.8,42.9,160.0,80.0,100.0,4006.4644790257103
2009,524.9,530.8,233.3,140.3,64.7,4006.4644790257103
2009,274.4,92.3,40.0,19.8,100.0,4006.4644790257103
2009,1794.8,110.1,150.9,189.5,73.8,4006.4644790257103
2009,129.3,128.6,1200.0,119.0,85.7,4006.4644790257103
2009,46.7,14.3,100.0,46.7,606.0225288159273,4006.4644790257103
2009,229.4,66.7,90.0,107.1,200.0,4006.4644790257103
2009,755.7,338.9,265.0,98.1,164.7,4006.4644790257103
2009,41.3,200.0,100.0,50.0,606.0225288159273,4006.4644790257103
2009,45.1,400.0,150.0,37.5,606.0225288159273,4006.4644790257103
2009,337.1,125.0,125.0,64.2,266.7,4006.4644790257103
2009,227.3,125.0,216.7,147.4,43.8,4006.4644790257103
2009,640.8,59.1,196.2,109.1,120.0,4006.4644790257103
2009,245.1,116.7,444.4,86.9,100.0,4006.4644790257103
2009,344.3,65.4,104.5,104.3,50.0,4006.4644790257103
2009,109.3,61.5,155.6,62.8,66.7,4006.4644790257103
2009,639.4,102.0,200.0,40.2,77.8,4006.4644790257103
2009,764.6,62.2,208.3,107.1,13.2,4006.4644790257103
2009,651.3,64.5,87.0,22.9,57.1,4006.4644790257103
2009,92.9,100.0,66.7,50.0,100.0,4006.4644790257103
2009,56.4,75.0,85.7,20.8,100.0,4006.4644790257103
2009,895.3,111.1,220.7,202.3,100.0,4006.4644790257103
2009,44.8,600.0,83.3,29.6,606.0225288159273,4006.4644790257103
2009,63.3,125.0,100.0,100.0,200.0,4006.4644790257103
2009,54.0,908.5050445103858,500.0,11.5,606.0225288159273,4006.4644790257103
2009,56.5,800.0,133.3,40.0,606.0225288159273,4006.4644790257103
2009,47.5,33.3,200.0,9.1,606.0225288159273,4006.4644790257103
2009,343.5,550.0,220.0,108.5,150.0,4006.4644790257103
2009,44.7,908.5050445103858,100.0,20.0,606.0225288159273,4006.4644790257103
2009,45.7,450.0,150.0,150.0,150.0,4006.4644790257103
2009,149.8,1600.0,127.3,76.5,225.0,4006.4644790257103
2009,92.3,78.6,140.0,43.2,60.0,4006.4644790257103
2009,440.8,392.9,281.8,168.6,218.2,4006.4644790257103
2009,2052.5,93.3,104.5,48.8,52.6,4006.4644790257103
2009,31.0,50.0,60.0,1157.552021089631,606.0225288159273,4006.4644790257103
2009,77.5,350.0,75.0,53.8,300.0,4006.4644790257103
2009,274.3,31.7,47.1,32.1,31.6,4006.4644790257103
2009,386.3,56.7,108.6,99.0,52.4,4006.4644790257103
2009,376.6,177.3,115.6,82.9,76.5,4006.4644790257103
2009,1130.2,76.6,141.0,106.9,95.2,4006.4644790257103
2009,799.5,44.7,106.3,54.0,47.4,4006.4644790257103
2009,1712.2,34.7,113.3,130.6,53.2,4006.4644790257103
2009,268.3,69.7,281.8,45.0,81.8,4006.4644790257103
2009,532.8,37.3,29.2,15.9,122.2,4006.4644790257103
2009,222.1,60.0,230.0,330.0,100.0,4006.4644790257103
2009,145.2,625.0,153.8,93.3,233.3,4006.4644790257103
2009,680.2,28.9,78.6,44.4,42.5,4006.4644790257103
2009,1815.3,51.1,232.5,167.9,43.3,4006.4644790257103
