01. Ano;02. Nome Região (Portugal);03. Âmbito Geográfico;04. Filtro 1;07. Escala;09. Valor
2009;Almada;Município;45-54; pessoas;1519.8
2009;Almada;Município;55 ou mais anos; pessoas;1291.4
2009;Almada;Município;Menos de 25 anos; pessoas;708.8
2009;Almada;Município;Total; pessoas;6803.9
2009;Almeida;Município;25-34; pessoas;30.5
2009;Almeida;Município;35-44; pessoas;35.9
2009;Almeida;Município;45-54; pessoas;37.0
2009;Almeida;Município;55 ou mais anos; pessoas;38.3
2009;Almeida;Município;Menos de 25 anos; pessoas;16.5
2009;Almeida;Município;Total; pessoas;158.3
2009;Almeirim;Município;25-34; pessoas;239.8
2009;Almeirim;Município;35-44; pessoas;195.3
2009;Almeirim;Município;45-54; pessoas;195.3
2009;Almeirim;Município;55 ou mais anos; pessoas;272.8
2009;Almeirim;Município;Menos de 25 anos; pessoas;99.1
2009;Almeirim;Município;Total; pessoas;1002.4
2009;Almodôvar;Município;25-34; pessoas;85.7
2009;Almodôvar;Município;35-44; pessoas;76.9
2009;Almodôvar;Município;45-54; pessoas;102.8
2009;Almodôvar;Município;55 ou mais anos; pessoas;149.8
2009;Almodôvar;Município;Menos de 25 anos; pessoas;67.7
2009;Almodôvar;Município;Total; pessoas;482.9
2009;Alpiarça;Município;25-34; pessoas;60.8
2009;Alpiarça;Município;35-44; pessoas;56.8
2009;Alpiarça;Município;45-54; pessoas;64.8
2009;Alpiarça;Município;55 ou mais anos; pessoas;112.4
2009;Alpiarça;Município;Menos de 25 anos; pessoas;33.8
2009;Alpiarça;Município;Total; pessoas;328.4
2009;Alter do Chão;Município;25-34; pessoas;39.8
2009;Alter do Chão;Município;35-44; pessoas;28.8
2009;Alter do Chão;Município;45-54; pessoas;18.0
2009;Alter do Chão;Município;55 ou mais anos; pessoas;17.9
2009;Alter do Chão;Município;Menos de 25 anos; pessoas;25.7
2009;Alter do Chão;Município;Total; pessoas;130.2
2009;Alvaiázere;Município;25-34; pessoas;58.8
2009;Alvaiázere;Município;35-44; pessoas;46.0
2009;Alvaiázere;Município;45-54; pessoas;46.6
2009;Alvaiázere;Município;55 ou mais anos; pessoas;41.3
2009;Alvaiázere;Município;Menos de 25 anos; pessoas;41.8
2009;Alvaiázere;Município;Total; pessoas;234.4
2009;Alvito;Município;25-34; pessoas;19.5
2009;Alvito;Município;35-44; pessoas;13.8
2009;Alvito;Município;45-54; pessoas;13.2
2009;Alvito;Município;55 ou mais anos; pessoas;16.1
2009;Alvito;Município;Menos de 25 anos; pessoas;13.3
2009;Alvito;Município;Total; pessoas;75.8
2009;Amadora;Município;25-34; pessoas;2017.1
2009;Amadora;Município;35-44; pessoas;1931.8
2009;Amadora;Município;45-54; pessoas;1904.2
2009;Amadora;Município;55 ou mais anos; pessoas;1807.8
2009;Amadora;Município;Menos de 25 anos; pessoas;869.2
2009;Amadora;Município;Total; pessoas;8530.0
2009;Amarante;Município;25-34; pessoas;783.4
2009;Amarante;Município;35-44; pessoas;983.1
2009;Amarante;Município;45-54; pessoas;834.6
2009;Amarante;Município;55 ou mais anos; pessoas;597.5
2009;Amarante;Município;Menos de 25 anos; pessoas;582.5
2009;Amarante;Município;Total; pessoas;3781.1
2009;Amares;Município;25-34; pessoas;240.1
2009;Amares;Município;35-44; pessoas;215.3
2009;Amares;Município;45-54; pessoas;195.1
2009;Amares;Município;55 ou mais anos; pessoas;141.3
2009;Amares;Município;Menos de 25 anos; pessoas;123.0
2009;Amares;Município;Total; pessoas;914.8
2009;Anadia;Município;25-34; pessoas;263.3
2009;Anadia;Município;35-44; pessoas;208.1
2009;Anadia;Município;45-54; pessoas;231.8
2009;Anadia;Município;55 ou mais anos; pessoas;222.1
2009;Anadia;Município;Menos de 25 anos; pessoas;158.6
2009;Anadia;Município;Total; pessoas;1083.9
2009;Angra do Heroísmo;Município;25-34; pessoas;2181.748275862069
2009;Angra do Heroísmo;Município;35-44; pessoas;2181.748275862069
2009;Angra do Heroísmo;Município;45-54; pessoas;2181.748275862069
2009;Angra do Heroísmo;Município;55 ou mais anos; pessoas;2181.748275862069
2009;Angra do Heroísmo;Município;Menos de 25 anos; pessoas;2181.748275862069
2009;Angra do Heroísmo;Município;Total; pessoas;2181.748275862069
2009;Ansião;Município;25-34; pessoas;104.2
2009;Ansião;Município;35-44; pessoas;100.3
2009;Ansião;Município;45-54; pessoas;115.8
2009;Ansião;Município;55 ou mais anos; pessoas;131.3
2009;Ansião;Município;Menos de 25 anos; pessoas;78.8
2009;Ansião;Município;Total; pessoas;530.4
2009;Arcos de Valdevez;Município;25-34; pessoas;182.2
2009;Arcos de Valdevez;Município;35-44; pessoas;165.0
2009;Arcos de Valdevez;Município;45-54; pessoas;171.8
2009;Arcos de Valdevez;Município;55 ou mais anos; pessoas;110.3
2009;Arcos de Valdevez;Município;Menos de 25 anos; pessoas;161.8
2009;Arcos de Valdevez;Município;Total; pessoas;790.9
2009;Arganil;Município;25-34; pessoas;82.8
2009;Arganil;Município;35-44; pessoas;81.0
2009;Arganil;Município;45-54; pessoas;89.7
2009;Arganil;Município;55 ou mais anos; pessoas;69.2
2009;Arganil;Município;Menos de 25 anos; pessoas;59.8
2009;Arganil;Município;Total; pessoas;382.3
2009;Armamar;Município;25-34; pessoas;59.8
2009;Armamar;Município;35-44; pessoas;64.3
2009;Armamar;Município;45-54; pessoas;60.8
2009;Armamar;Município;55 ou mais anos; pessoas;39.6
2009;Armamar;Município;Menos de 25 anos; pessoas;40.3
2009;Armamar;Município;Total; pessoas;264.9
2009;Arouca;Município;25-34; pessoas;153.1
2009;Arouca;Município;35-44; pessoas;146.4
2009;Arouca;Município;45-54; pessoas;159.5
2009;Arouca;Município;55 ou mais anos; pessoas;108.0
2009;Arouca;Município;Menos de 25 anos; pessoas;143.0
2009;Arouca;Município;Total; pessoas;710.0
2009;Arraiolos;Município;25-34; pessoas;52.5
2009;Arraiolos;Município;35-44; pessoas;52.2
2009;Arraiolos;Município;45-54; pessoas;42.6
2009;Arraiolos;Município;55 ou mais anos; pessoas;47.6
2009;Arraiolos;Município;Menos de 25 anos; pessoas;42.2
2009;Arraiolos;Município;Total; pessoas;237.0
2009;Arronches;Município;25-34; pessoas;27.5
2009;Arronches;Município;35-44; pessoas;20.3
2009;Arronches;Município;45-54; pessoas;17.8
2009;Arronches;Município;55 ou mais anos; pessoas;14.8
2009;Arronches;Município;Menos de 25 anos; pessoas;21.2
2009;Arronches;Município;Total; pessoas;101.6
2009;Arruda dos Vinhos;Município;25-34; pessoas;105.2
2009;Arruda dos Vinhos;Município;35-44; pessoas;80.2
2009;Arruda dos Vinhos;Município;45-54; pessoas;65.3
2009;Arruda dos Vinhos;Município;55 ou mais anos; pessoas;60.8
